"","Date","Close","SWN.SUM","HL.SUM","JKR.SUM","STN.SUM","MPQA.SUM","SWN.AVG","HL.AVG","JKR.AVG","STN.AVG","MPQA.AVG","SWN.PCTG","HL.PCTG","JKR.PCTG","STN.PCTG","MPQA.PCTG"
"242",2018-01-09,92.53,0.222916666666667,6,4.75,4.776,7,0.0557291666666667,1.5,1.1875,1.194,1.75,-0.5,0.5,0.5,0.5,0.5
"243",2018-01-10,92.33,-0.88958333333334,1,-0.55,-1.028,4,-0.14826388888889,0.166666666666667,-0.0916666666666667,-0.171333333333333,0.666666666666667,0.666666666666667,0,0,-0.333333333333333,0
"244",2018-01-11,91.85,2.21666666666666,0,-2.3,6.946,-1,0.443333333333333,0,-0.46,1.3892,-0.2,0.2,-0.2,-0.6,0.6,0.2
"245",2018-01-12,90.97,-0.852083333333337,12,3.85,15.804,6,-0.142013888888889,2,0.641666666666667,2.634,1,0,0.333333333333333,0.666666666666667,1,0
"246",2018-01-15,90.97,-0.360416666666666,-3,2.35,3.452,-4,-0.0720833333333332,-0.6,0.47,0.6904,-0.8,-0.2,-0.6,0.6,0.2,-0.6
"247",2018-01-16,90.39,2.49702380952381,-1,2.7,5.114,0,0.35671768707483,-0.142857142857143,0.385714285714286,0.730571428571429,0,0.714285714285714,-0.142857142857143,0.428571428571429,0.428571428571429,-0.142857142857143
"248",2018-01-17,90.54,4.97083333333333,3,4.2,16.804,12,0.994166666666666,0.6,0.84,3.3608,2.4,0.6,0.2,0.2,1,0.6
"249",2018-01-18,90.5,-0.99047619047619,3,3.45,11.27,1,-0.198095238095238,0.6,0.69,2.254,0.2,-0.2,0.2,0.2,1,-0.6
"250",2018-01-19,90.57,-3.05,-5,-3.3,13.24,2,-0.435714285714286,-0.714285714285714,-0.471428571428571,1.89142857142857,0.285714285714286,-0.714285714285714,-1,-0.428571428571429,0.714285714285714,-0.142857142857143
"251",2018-01-22,90.4,1.51041666666667,1,-0.75,3.912,3,0.188802083333333,0.125,-0.09375,0.489,0.375,0.5,-0.25,0.25,0.25,-0.25
"252",2018-01-23,90.12,-1.86577380952381,4,0.5,8.232,4,-0.310962301587302,0.666666666666667,0.0833333333333333,1.372,0.666666666666667,-0.333333333333333,0.333333333333333,0,0.333333333333333,0
"253",2018-01-24,89.21,4.96979166666666,-3,2.4,34.942,2,0.354985119047619,-0.214285714285714,0.171428571428571,2.49585714285714,0.142857142857143,0,-0.285714285714286,0,0.857142857142857,-0.285714285714286
"254",2018-01-25,89.39,-0.399608333333329,27,12.05,38.93,28,-0.0333006944444441,2.25,1.00416666666667,3.24416666666667,2.33333333333333,-0.166666666666667,0.166666666666667,0,0.666666666666667,0.666666666666667
"255",2018-01-26,89.07,-1.05433333333333,12,-2.2,34.87,19,-0.105433333333333,1.2,-0.22,3.487,1.9,-0.2,0.4,0,0.8,0.4
"256",2018-01-29,89.31,-1.39583333333333,6,4.35,1.716,4,-0.279166666666666,1.2,0.87,0.3432,0.8,-0.2,0.6,0.6,0.2,0.6
"257",2018-01-30,89.16,-0.820833333333337,-5,-1.2,11.928,0,-0.136805555555556,-0.833333333333333,-0.2,1.988,0,0,-0.333333333333333,0,0.333333333333333,0
"258",2018-01-31,89.13,-7.02291666666667,0,2.05,13.033,0,-1.00327380952381,0,0.292857142857143,1.86185714285714,0,-1,-0.142857142857143,-0.142857142857143,0.428571428571429,-0.428571428571429
"259",2018-02-01,88.67,0.787500000000001,-3,-0.65,13.947,4,0.1125,-0.428571428571429,-0.0928571428571429,1.99242857142857,0.571428571428571,-0.142857142857143,-0.142857142857143,-0.142857142857143,1,-0.142857142857143
"260",2018-02-02,89.19,1.02435,-4,-0.95,8.444,-3,0.170725,-0.666666666666667,-0.158333333333333,1.40733333333333,-0.5,0.333333333333333,-0.333333333333333,-0.333333333333333,0.666666666666667,-0.666666666666667
"261",2018-02-05,89.55,-1.50625,-5,0.1,9.479,-9,-0.251041666666666,-0.833333333333333,0.0166666666666667,1.57983333333333,-1.5,-0.333333333333333,-1,0.333333333333333,0.666666666666667,-0.666666666666667
"262",2018-02-06,89.58,-2.17916666666667,0,4.85,9.106,1,-0.311309523809524,0,0.692857142857143,1.30085714285714,0.142857142857143,-0.714285714285714,-0.142857142857143,0.428571428571429,0.714285714285714,0.142857142857143
"263",2018-02-07,90.25,-1.3026888888889,6,3.6,14.302,7,-0.186098412698414,0.857142857142857,0.514285714285714,2.04314285714286,1,-0.142857142857143,0.142857142857143,0.428571428571429,0.714285714285714,0.142857142857143
"264",2018-02-08,90.23,-1.91106666666667,-1,1.95,3.027,1,-0.273009523809524,-0.142857142857143,0.278571428571429,0.432428571428571,0.142857142857143,-0.428571428571429,-0.428571428571429,0.142857142857143,-0.142857142857143,-0.428571428571429
"265",2018-02-09,90.44,-1.14583333333333,-4,-3.35,2.572,-1,-0.143229166666666,-0.5,-0.41875,0.3215,-0.125,-0.25,-0.75,-0.5,0.5,-0.25
"266",2018-02-12,90.21,-3.48958333333333,-4,-0.1,0.708,-9,-0.498511904761904,-0.571428571428571,-0.0142857142857143,0.101142857142857,-1.28571428571429,-0.714285714285714,-1,-0.142857142857143,0.142857142857143,-0.714285714285714
"267",2018-02-13,89.7,-2.33958333333333,2,4.8,14.081,-2,-0.33422619047619,0.285714285714286,0.685714285714286,2.01157142857143,-0.285714285714286,-0.714285714285714,0.142857142857143,0.142857142857143,0.714285714285714,-0.428571428571429
"268",2018-02-14,89.12,3.00833333333334,-1,3.55,19.265,4,0.429761904761905,-0.142857142857143,0.507142857142857,2.75214285714286,0.571428571428571,-0.142857142857143,0.142857142857143,0.428571428571429,0.714285714285714,-0.428571428571429
"269",2018-02-15,88.59,4.31458333333333,2,8.1,23.863,8,0.431458333333333,0.2,0.81,2.3863,0.8,0.6,-0.2,0.6,0.6,0
"270",2018-02-16,89.1,-6.47773333333333,1,0.8,14.913,-11,-0.809716666666667,0.125,0.1,1.864125,-1.375,-0.25,0,0,1,-0.5
"271",2018-02-19,89.1,-0.833333333333334,2,6.1,8.553,-2,-0.208333333333333,0.5,1.525,2.13825,-0.5,-0.5,0,1,1,0
"272",2018-02-20,89.72,-1.8473761904762,5,9.05,9,4,-0.230922023809525,0.625,1.13125,1.125,0.5,0,0,0.75,0.25,-0.25
"273",2018-02-21,90,-0.795535714285714,1,3.4,26.154,0,-0.0795535714285714,0.1,0.34,2.6154,0,-0.2,-0.2,0.4,0.4,-0.2
"274",2018-02-22,89.74,-2.24737619047619,8,9.45,19.374,3,-0.280922023809524,1,1.18125,2.42175,0.375,-0.25,-0.25,0.5,0.75,-0.25
"275",2018-02-23,89.88,-5.01875,-7,-4.8,9.062,-5,-0.716964285714286,-1,-0.685714285714286,1.29457142857143,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,0.428571428571429,-1
"276",2018-02-26,89.85,0.520833333333332,6,8.1,3.593,10,0.0744047619047618,0.857142857142857,1.15714285714286,0.513285714285714,1.42857142857143,0.428571428571429,0.142857142857143,0.714285714285714,-0.142857142857143,0.714285714285714
"277",2018-02-27,90.36,6.61319444444443,-8,20.3,37.033,-3,0.601199494949494,-0.727272727272727,1.84545454545455,3.36663636363636,-0.272727272727273,0.454545454545455,-0.454545454545455,0.818181818181818,1,-0.272727272727273
"278",2018-02-28,90.61,1.8125,0,10.05,11.01,0,0.258928571428572,0,1.43571428571429,1.57285714285714,0,-0.428571428571429,-0.142857142857143,0.714285714285714,0.714285714285714,-0.142857142857143
"279",2018-03-01,90.32,6.12222222222222,3,-4.16333634234434e-17,33.478,2,0.765277777777778,0.375,-5.20417042793042e-18,4.18475,0.25,0.5,0,0,0.75,0.25
"280",2018-03-02,89.94,-7.4672619047619,-1,-5.95,33.856,-5,-0.622271825396825,-0.0833333333333333,-0.495833333333333,2.82133333333333,-0.416666666666667,-0.333333333333333,-0.5,-0.5,0.666666666666667,-0.5
"281",2018-03-05,90.08,-1.03472222222222,0,-2.7,-1.547,1,-0.344907407407407,0,-0.9,-0.515666666666667,0.333333333333333,-0.333333333333333,-0.333333333333333,-1,0.333333333333333,0.333333333333333
"282",2018-03-06,89.62,-1.46041666666667,0,-1.5,11.612,-3,-0.208630952380953,0,-0.214285714285714,1.65885714285714,-0.428571428571429,0.142857142857143,-0.428571428571429,-0.428571428571429,0.714285714285714,-0.714285714285714
"283",2018-03-07,89.64,-6.89826904761905,-6,-7.8,16.085,-2,-0.862283630952381,-0.75,-0.975,2.010625,-0.25,-0.75,-0.5,-0.25,0,-0.25
"284",2018-03-08,90.18,0.39583333333333,5,1.7,17.539,7,0.0659722222222217,0.833333333333333,0.283333333333333,2.92316666666667,1.16666666666667,0,0.333333333333333,0,1,-0.333333333333333
"285",2018-03-09,90.09,-1.8922619047619,8,5.65,20.665,11,-0.236532738095238,1,0.70625,2.583125,1.375,0.25,0,0.75,0.75,0
